audience_id,audience_name,audience_type,type,category,parent,source,updated_at
"4529929","引越し、移転","IN_MARKET","in_market","不動産","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4530049","結婚プラン","IN_MARKET","in_market","ギフト、行事","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4530169","レンタカー（エコノミー、コンパクト、ミッドサイズ）","IN_MARKET","in_market","旅行","レンタカー","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4530289","レンタカー（フルサイズ、スタンダード）","IN_MARKET","in_market","旅行","レンタカー","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4530409","レンタカー（高級、コンバーチブル、スペシャルティ）","IN_MARKET","in_market","旅行","レンタカー","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4530529","レンタカー（ミニバン、SUV）","IN_MARKET","in_market","旅行","レンタカー","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4530649","ベビー、子供用品","IN_MARKET","in_market","","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4530769","ベビー、子供用衣料","IN_MARKET","in_market","ベビー、子供用品","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4530889","おむつ、ベビー用衛生用品","IN_MARKET","in_market","ベビー、子供用品","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4531009","おもちゃ","IN_MARKET","in_market","ベビー、子供用品","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4531129","チャイルド シート","IN_MARKET","in_market","ベビー、子供用品","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4531249","ベビーカー","IN_MARKET","in_market","ベビー、子供用品","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4531369","幼児保育、教育","IN_MARKET","in_market","ベビー、子供用品","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4531489","乳幼児用食品","IN_MARKET","in_market","ベビー、子供用品","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4531609","ベビー用衣料","IN_MARKET","in_market","ベビー、子供用品","ベビー、子供用衣料","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4531729","子供服","IN_MARKET","in_market","ベビー、子供用品","ベビー、子供用衣料","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4531849","幼児保育","IN_MARKET","in_market","ベビー、子供用品","幼児保育、教育","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4531969","幼児教育","IN_MARKET","in_market","ベビー、子供用品","幼児保育、教育","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4532089","授乳用品、離乳食用品","IN_MARKET","in_market","ベビー、子供用品","乳幼児用食品","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4532209","離乳食","IN_MARKET","in_market","ベビー、子供用品","乳幼児用食品","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4532329","貯蓄口座","IN_MARKET","in_market","金融サービス","銀行サービス","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4532449","信用調査","IN_MARKET","in_market","金融サービス","クレジット、融資","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4532569","住宅担保ローン","IN_MARKET","in_market","金融サービス","クレジット、融資 > 住宅ローン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4532689","雇用","IN_MARKET","in_market","","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4532789","会計、財務系の求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4532809","事務系の求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4532929","教育系の求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4533049","経営、マネジメント系の求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4533169","行政機関の求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4533289","医療系の求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4533409","IT、技術系の求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4533529","法律系の求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4533649","販売系の求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4533769","営業、マーケティング系の求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4533889","短期アルバイト、季節的な求人情報","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4534009","インターンシップ","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4534129","就職相談サービス","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4534249","履歴書、職歴","IN_MARKET","in_market","雇用","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4534369","アパレル、アクセサリー","IN_MARKET","in_market","","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4534489","スポーツウェア","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4534609","コスチューム","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4534729","礼服","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4534849","ハンドバッグ","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4534969","宝石、時計","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4535089","女性用下着","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4535209","旅行バッグ","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4535329","紳士服","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4535449","香水、フレグランス","IN_MARKET","in_market","美容商品、サービス","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4535569","アウター","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4535689","靴","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4535809","水着","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4535929","財布、ブリーフケース、革製品","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4536049","婦人服","IN_MARKET","in_market","アパレル、アクセサリー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4536169","ブライダル衣装","IN_MARKET","in_market","アパレル、アクセサリー","礼服","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4536289","ビジネススーツ","IN_MARKET","in_market","アパレル、アクセサリー","礼服","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
